Year,Max Temp,Min Temp,Avg Temp,Avg Bare Soil Temp,Avg Turf Soil Temp,Avg Wind Speed,Max Wind Speed,Total Solar Rad,Total Penman PET,Avg Penman PET,Total Rainfall,Avg Dew Point,Avg Wind Chill,Period
1993,18.511,7.975,13.2430,29.257,30.378,12.246,23.382,108.502,0.112,0.016,,10.892,-0.081,WEEK #47
1993,29.335,13.901,21.6180,31.003,33.201,9.376,22.460,115.089,0.083,0.012,,20.618,12.475,WEEK #48
1993,26.119,9.432,17.7750,30.446,31.641,10.325,23.228,115.912,0.132,0.019,,13.961,5.413,WEEK #49
1993,27.037,17.499,22.2680,31.291,33.091,9.451,18.925,84.934,0.046,0.007,,21.067,11.495,WEEK #50
1993,7.894,-11.928,-2.0170,29.597,31.630,9.981,22.922,116.663,0.109,0.016,,-4.976,-17.108,WEEK #51
1993,15.078,-4.085,5.4970,28.157,29.589,12.766,27.018,115.703,0.154,0.022,,3.131,-9.531,WEEK #52
1994,0.209,-21.542,-10.6660,26.237,27.322,10.990,22.717,135.664,0.116,0.017,,-15.625,-29.677,WEEK #01
1994,-5.538,-21.041,-13.2890,23.727,26.400,12.540,25.584,157.512,0.080,0.011,,-18.901,-35.028,WEEK #02
1994,11.503,-6.890,2.3060,22.027,25.423,8.681,19.286,179.114,0.127,0.018,,-3.002,-12.936,WEEK #03
1994,7.371,-11.043,-1.8360,24.131,26.943,8.349,16.928,161.180,0.094,0.013,,-3.909,-14.729,WEEK #04
1994,4.231,-12.643,-4.2060,21.764,24.979,12.540,27.171,219.144,0.126,0.018,,-10.116,-23.777,WEEK #05
1994,10.222,-14.197,-1.9880,20.331,23.712,9.726,23.483,224.794,0.181,0.026,,-5.393,-15.372,WEEK #06
1994,23.345,2.157,12.7510,25.734,27.346,11.890,25.890,267.140,0.269,0.038,,8.654,-1.225,WEEK #07
1994,11.809,-5.548,3.1300,22.488,25.041,8.878,19.900,287.134,0.144,0.021,,-1.385,-11.671,WEEK #08
1994,35.025,23.692,29.3590,30.183,29.611,13.880,30.090,344.695,0.409,0.058,,25.624,18.727,WEEK #09
1994,31.640,13.550,22.5950,30.926,31.043,10.767,23.331,374.251,0.437,0.062,,18.720,11.970,WEEK #10
1994,41.700,28.330,35.0150,34.280,32.301,10.035,24.048,332.373,0.494,0.071,,30.067,25.961,WEEK #11
1994,34.253,23.679,28.9670,32.761,32.480,10.647,22.563,289.808,0.458,0.065,,23.241,19.053,WEEK #12
1994,43.481,23.571,33.5270,37.150,34.892,10.763,23.485,452.375,0.825,0.118,0.000,25.409,24.001,WEEK #13
1994,49.337,26.978,38.1580,41.025,36.958,9.388,22.049,467.352,1.011,0.144,0.000,27.530,31.620,WEEK #14
1994,63.562,35.594,49.5780,48.750,43.045,11.200,26.710,480.009,1.797,0.257,0.000,31.492,46.147,WEEK #15
1994,57.423,33.980,45.7020,50.126,45.417,11.636,26.608,436.223,1.544,0.221,0.967,31.488,41.761,WEEK #16
1994,46.786,26.444,36.6150,41.755,41.451,9.393,21.230,510.556,0.963,0.138,0.000,27.427,30.674,WEEK #17
1994,62.754,35.903,49.3290,54.393,48.348,9.867,24.611,589.626,1.856,0.265,0.000,32.785,46.953,WEEK #18
1994,74.624,44.048,59.3360,60.439,53.015,9.438,25.226,508.534,2.031,0.290,0.290,41.072,58.987,WEEK #19
1994,79.037,54.953,66.9950,66.519,60.250,9.731,24.765,495.951,1.732,0.247,0.850,57.161,65.908,WEEK #20
